code,texture,horizon,depth_upper,depth_lower,bulk_density_g_cm3,OM_content,OC_pct,is_mineral
1010,loamy sand,Ap,0.0,24.0,1.64,0.01,0.0058,True
1030,loamy sand,Ap,0.0,15.0,1.48,1.7,0.9859999999999999,True
1031,loamy sand,A21,15.0,41.0,1.48,0.2,0.11599999999999999,True
1032,loamy sand,A22,41.0,71.0,1.53,0.1,0.057999999999999996,True
1040,sand,Ap,0.0,20.0,1.601,1.92,1.1136,True
1041,sand,C1,20.0,69.0,1.512,0.783,0.45414,True
1042,sand,C2,69.0,129.0,1.562,0.31,0.1798,True
1120,sandy loam,Ap,0.0,21.0,1.63,0.01,0.0058,True
1180,clay loam,Ap,0.0,25.0,1.55,0.01,0.0058,True
1280,silt loam,Ap,0.0,35.0,1.34,1.5,0.8699999999999999,True
1281,silt loam,A1,35.0,55.0,1.48,0.776,0.45008,True
1282,silt loam,Bt,70.0,130.0,1.46,0.397,0.23026,True
1290,sand,Ap,0.0,25.0,1.3,1.2,0.696,True
1320,silty clay,Bw,15.0,60.0,1.46,1.4,0.8119999999999999,True
1330,silt,Ap,0.0,35.0,1.37,1.0,0.58,True
1331,silt loam,Bt,55.0,80.0,1.43,0.2,0.11599999999999999,True
1340,silt loam,Ap,0.0,30.0,1.52,0.91,0.5277999999999999,True
1341,silt loam,M1,32.0,42.0,1.49,0.55,0.319,True
1342,silt loam,M2,42.0,52.0,1.34,0.43,0.24939999999999998,True
1350,silt loam,Ap,0.0,30.0,1.36,0.53,0.3074,True
1351,silt loam,M1,32.0,42.0,1.57,0.65,0.377,True
1352,silt loam,M2,42.0,52.0,1.51,0.29,0.1682,True
1360,silty clay,Ap,0.0,20.0,1.5,3.965,2.2996999999999996,True
1361,silty clay,Ah,0.0,20.0,1.49,4.379,2.5398199999999997,True
1362,silty clay loam,Ah,10.0,25.0,1.23,3.379,1.95982,True
1370,loam,Ah,0.0,14.0,0.95,3.689,2.13962,True
1371,silty clay loam,Sw,14.0,35.0,1.54,0.948,0.5498399999999999,True
1372,silty clay loam,GoSd,35.0,70.0,1.58,3.689,2.13962,True
1380,sandy loam,Ap,0.0,25.0,1.38,3.603,2.08974,True
1381,sandy loam,Sw1,25.0,35.0,1.73,0.31,0.1798,True
1382,sandy clay loam,Swd,35.0,60.0,1.75,0.259,0.15022,True
1383,silty clay,Sd,60.0,100.0,1.64,0.138,0.08004,True
1390,sandy loam,Ap,0.0,35.0,1.64,1.31,0.7598,True
1391,sandy loam,Ah,0.0,35.0,1.62,1.241,0.71978,True
1392,sandy loam,Ah,0.0,35.0,1.66,1.19,0.6901999999999999,True
1400,clay,P,35.0,60.0,1.45,0.724,0.41991999999999996,True
1420,silty clay loam,Ap,0.0,30.0,1.2,6.640000000000001,3.8512,True
1430,sandy loam,C,60.0,70.0,1.37,0.32,0.1856,True
1440,sandy loam,Bv,60.0,70.0,1.76,0.16,0.0928,True
1480,,Um,0.0,10.0,0.364,71.60000000000001,41.528,False
1481,,,10.0,20.0,0.24,79.7,46.226,False
1482,,,20.0,50.0,0.176,82.3,47.733999999999995,False
1490,silt loam,A1,80.0,86.0,1.47,0.259,0.15022,True
2000,silt loam,Ap,0.0,30.0,1.62,1.13,0.6553999999999999,True
2001,silt loam,M1,32.0,42.0,1.54,0.55,0.319,True
2002,silt loam,M2,42.0,52.0,1.5,0.24,0.1392,True
2010,silt loam,Ap,0.0,30.0,1.45,0.84,0.48719999999999997,True
2011,silt loam,M1,32.0,42.0,1.55,0.6900000000000001,0.4002,True
2012,silt loam,M2,42.0,52.0,1.51,0.29,0.1682,True
2020,silty clay loam,A,19.0,27.0,0.724,5.600000000000001,3.2480000000000007,True
2021,silty clay loam,B,42.0,80.0,0.893,5.600000000000001,3.2480000000000007,True
2022,silty clay loam,C,103.0,111.0,0.751,5.600000000000001,3.2480000000000007,True
2100,sand,A,0.0,30.0,1.7,0.15,0.087,True
2101,loamy sand,Bt1,30.0,51.0,1.6,0.14,0.08120000000000001,True
2102,loamy sand,Bt2,51.0,71.0,1.6,0.12,0.0696,True
2103,loamy sand,Bt3,71.0,99.0,1.6,0.1,0.057999999999999996,True
2104,loamy sand,Bt4,99.0,155.0,1.6,0.08,0.0464,True
2105,loamy sand,Bt5,155.0,280.0,1.6,0.08,0.0464,True
2170,silt loam,A,20.0,30.0,0.804,3.4,1.9719999999999998,True
2171,clay loam,B,50.0,70.0,1.16,1.3,0.754,True
2180,silty clay,A,20.0,30.0,0.54,4.5,2.61,True
2181,clay,B,50.0,70.0,0.55,1.6,0.9279999999999999,True
2320,loam,Ap,0.0,30.0,1.8,3.2,1.8559999999999999,True
2321,loam,Sg,30.0,60.0,1.74,3.1,1.7979999999999998,True
2330,,Hn,0.0,10.0,0.54,58.8,34.104,False
2331,,Hn,10.0,30.0,0.49,58.4,33.872,False
2332,,Hnc(F),30.0,50.0,0.36,47.1,27.317999999999998,False
2333,,Hnc,50.0,70.0,0.17,88.4,51.272,False
2334,sand,Gr,90.0,110.0,1.703,1.0,0.58,True
2340,clay,Ah,20.0,40.0,1.1,5.45,3.161,True
2341,sandy clay loam,Go,40.0,65.0,1.54,0.49,0.28419999999999995,True
2342,sand,Gor,65.0,85.0,1.6,0.29,0.1682,True
2350,silty clay,Go,35.0,45.0,1.18,14.48,8.3984,True
2351,silt loam,Go,45.0,80.0,1.39,7.31,4.2398,True
2360,clay,Ap,0.0,30.0,1.42,4.86,2.8188,True
2361,clay,Go,30.0,60.0,1.25,2.5,1.45,True
2362,clay,Gor,60.0,90.0,1.25,2.15,1.2469999999999999,True
2460,silty clay,Ah,1.0,6.0,0.769,10.32,5.9856,True
2461,silty clay,AhBv,8.0,13.0,0.913,6.36,3.6888,True
2462,silty clay,Bv,15.0,20.0,0.925,5.68,3.2943999999999996,True
2530,loam,Ap,5.0,20.0,1.361,1.07,0.6206,True
2531,loam,C1,80.0,95.0,1.461,1.03,0.5973999999999999,True
2532,sandy loam,C2,145.0,160.0,1.334,0.47,0.27259999999999995,True
2560,sandy loam,(E)B,20.0,50.0,1.37,0.7000000000000001,0.406,True
2561,loamy sand,(IIC)B,118.0,130.0,1.59,0.1,0.057999999999999996,True
2570,loamy sand,Ah,0.0,20.0,1.13,3.3,1.9139999999999997,True
2571,loamy sand,(E)B,20.0,50.0,1.3,1.5,0.8699999999999999,True
2572,sand,Bv,50.0,70.0,1.44,0.3,0.174,True
2573,sand,"Bv,(t)",70.0,90.0,1.44,0.2,0.11599999999999999,True
2580,loam,Ah,0.0,20.0,1.07,3.7,2.146,True
2581,silt loam,(B)C,40.0,60.0,1.3,0.8,0.46399999999999997,True
2582,silt loam,(Go)C,80.0,100.0,1.38,0.7000000000000001,0.406,True
2583,sandy loam,"Go,rII",130.0,170.0,1.42,0.4,0.23199999999999998,True
2590,loam,Ah,0.0,10.0,1.22,4.2,2.436,True
2591,loam,Bv,40.0,60.0,1.51,1.0,0.58,True
2592,silt loam,"Go,(r)",80.0,120.0,1.69,0.4,0.23199999999999998,True
2593,silty clay loam,"Go,(r)",120.0,160.0,1.66,0.4,0.23199999999999998,True
2601,loam,Bv,30.0,50.0,1.08,3.6,2.088,True
2602,loam,(Sw)B,50.0,75.0,1.21,1.3,0.754,True
2603,loam,(Sd)BC,75.0,110.0,1.39,0.3,0.174,True
2604,loam,(Sd)C,110.0,150.0,1.45,0.1,0.057999999999999996,True
2605,loam,C,150.0,170.0,1.55,0.1,0.057999999999999996,True
2610,loam,Ah,5.0,15.0,0.59,5.100000000000001,2.9580000000000006,True
2611,loam,(E)BSw,15.0,55.0,0.92,4.0,2.32,True
2612,silt loam,"Sw,cn",55.0,105.0,1.37,0.8,0.46399999999999997,True
2613,silt loam,"Sd,cn",105.0,175.0,1.66,0.1,0.057999999999999996,True
2614,loam,"Sd,cn",175.0,250.0,1.72,1.0,0.58,True
2620,clay,(Go)Ah,0.0,10.0,1.07,4.0,2.32,True
2621,clay,Go(r),30.0,50.0,1.27,1.4,0.8119999999999999,True
2622,clay,"Go,r",50.0,80.0,1.47,0.6,0.348,True
2630,sandy clay loam,Bfe,40.0,60.0,1.27,2.6,1.508,True
2631,sandy loam,BC,60.0,85.0,1.39,0.9,0.522,True
2640,loamy sand,E,40.0,60.0,1.48,1.3,0.754,True
2641,loamy sand,(S)Bfe,80.0,120.0,1.3,2.7,1.566,True
2642,sandy loam,(S)Bfe,140.0,160.0,1.6,1.0,0.58,True
2650,loam,Ah,0.0,20.0,1.08,4.600000000000001,2.6680000000000006,True
2651,loam,(E)B,20.0,60.0,1.29,0.9,0.522,True
2652,loam,"Bv,t",60.0,90.0,1.52,0.4,0.23199999999999998,True
2653,loamy sand,BC,180.0,230.0,1.76,0.1,0.057999999999999996,True
2660,clay,GoE,30.0,60.0,1.03,4.0,2.32,True
2671,silt loam,Bcn,125.0,175.0,1.43,0.2,0.11599999999999999,True
2680,loam,Ah,0.0,20.0,1.14,7.0,4.06,True
2681,clay,(S)Btc,20.0,100.0,1.51,0.5,0.29,True
2682,clay loam,S-Btcn,100.0,130.0,1.53,0.3,0.174,True
2690,clay,Ah,0.0,20.0,1.45,21.4,12.411999999999999,False
2691,clay,AhC,20.0,60.0,1.67,7.7,4.466,True
2700,clay loam,Ah,0.0,20.0,1.41,3.0,1.7399999999999998,True
2701,clay loam,AhC,20.0,50.0,1.72,7.5,4.35,True
2710,silt loam,Ah,0.0,20.0,1.02,5.100000000000001,2.9580000000000006,True
2711,silt loam,(E)B,20.0,35.0,1.27,0.5,0.29,True
2713,silt loam,(Sd)BC,70.0,120.0,1.66,0.2,0.11599999999999999,True
2720,silt loam,Ah,0.0,20.0,1.05,6.8,3.9439999999999995,True
2721,silt loam,(E)Sw,20.0,50.0,1.35,0.7000000000000001,0.406,True
2722,silt loam,(BC)Sd,50.0,100.0,1.53,0.2,0.11599999999999999,True
2730,silt loam,H,0.0,35.0,0.91,4.1,2.3779999999999997,True
2731,silt loam,SwE,35.0,65.0,1.38,0.7000000000000001,0.406,True
2732,silt loam,"Sd,cn",65.0,95.0,1.55,0.2,0.11599999999999999,True
2740,clay loam,Ah,0.0,35.0,0.73,9.5,5.51,True
2741,loam,(E)A,35.0,65.0,0.84,3.5,2.03,True
2742,loam,EA,65.0,95.0,0.75,8.3,4.814,True
2743,clay loam,Bh(fe),95.0,125.0,0.71,10.3,5.974,True
2750,loam,(E)B,0.0,30.0,1.01,4.1,2.3779999999999997,True
2751,sandy loam,Bv,30.0,60.0,1.28,1.1,0.638,True
2752,loam,(Sd)BC,60.0,100.0,1.45,1.1,0.638,True
2753,sandy loam,(Sd)BC,100.0,120.0,1.42,1.0,0.58,True
2760,silt loam,Ah,0.0,20.0,1.13,3.1,1.7979999999999998,True
2761,silt loam,(B)Ah,20.0,40.0,1.28,1.5,0.8699999999999999,True
2762,sandy loam,(B)C,40.0,65.0,1.26,0.6,0.348,True
2763,loamy sand,(Go)C,65.0,85.0,1.26,0.5,0.29,True
2764,sandy loam,"Go,(r)",85.0,115.0,1.32,0.8,0.46399999999999997,True
2765,sandy loam,"Gr,(o)",115.0,140.0,1.29,0.7000000000000001,0.406,True
3000,sandy loam,A,0.0,10.0,1.58,1.09,0.6322,True
3010,sandy loam,A,0.0,12.0,1.28,2.68,1.5544,True
3020,sand,A,0.0,10.0,1.21,0.6,0.348,True
3090,silt loam,Ap,0.0,20.0,1.4,3.85,2.233,True
3091,silt loam,A1,20.0,44.0,1.43,3.02,1.7515999999999998,True
