texture_class,hydrologic_soil_group,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity,ksat_cm_day,ksat_in_hr,k_fc_cm_day,k_wp_cm_day,theta_r,vg_alpha_1cm,vg_n,k0_cm_day,mualem_L,implausible_bd
sand,A,92,5,3,0.8,0.5597188436564556,0.1409322508997153,0.07242874119496463,0.06850350970475068,992.2440478774208,16.27696928932777,0.007652764394042296,3.7466716841608346e-08,0.06960152761370857,0.029207151891834843,1.847575469238231,53.1475350034147,-0.5744040466720451,False
sand,A,92,5,3,0.9,0.530925371998065,0.1293136892303256,0.06768135970010636,0.06163232953021924,874.4398075712547,14.344485032336856,0.005642158803824631,1.2329700460701068e-08,0.06584424924743534,0.025571607711313418,1.930159237909883,36.50841539812691,-0.4731306094118519,False
sand,A,92,5,3,1.0,0.5025555740163783,0.11285003665478813,0.06383132270684838,0.049018713947939746,803.5048712348714,13.180854186923744,0.00411258132415575,4.9971837964789675e-09,0.06285447377915386,0.02469552228160018,2.032942359257266,29.218605986640043,-0.4768514441260877,False
sand,A,92,5,3,1.1,0.47537283478892706,0.0963701445016731,0.06072282400802613,0.03564732049364697,763.1270534016113,12.518488408819083,0.002970243386763386,2.3656064292661527e-09,0.06027988090723884,0.025017811729927973,2.1543914516744387,24.928942951234003,-0.5422503628012827,False
sand,A,92,5,3,1.2,0.4495187378996922,0.08234372817405708,0.058090003312947905,0.024253724861109174,731.3983603255973,11.998004598517015,0.0021747276930642085,1.301157040226793e-09,0.057911108206410745,0.025978363654769576,2.28932275563439,22.14627285949752,-0.6375659919742848,False
sand,A,92,5,3,1.3,0.4247274281551791,0.07153703312820489,0.05576465849032445,0.01577237463788044,690.4654148907082,11.326532396501118,0.0016372582883791155,7.926823669382595e-10,0.055696981258699374,0.027334705857016178,2.4301176513216514,20.778601297217218,-0.7335091265002077,False
sand,A,92,5,3,1.4,0.40055631754630766,0.06387583008975112,0.053707856119476975,0.010167973970274143,630.5661424641996,10.343932783205375,0.001262953009253369,5.037547517887556e-10,0.05368164644265928,0.02890998603596716,2.5629478220084363,20.654147325157904,-0.8090093349536462,False
sand,A,92,5,3,1.5,0.3764611060447422,0.05899872349116801,0.051898519106190096,0.0071002043849779164,544.3783604294432,8.930091214393753,0.0010434741453845113,3.7247576069412135e-10,0.05188556590553123,0.03053539842765505,2.6531801966730906,21.55628491960535,-0.8565894122801891,False
sand,A,92,5,3,1.6,0.35182990798234925,0.056652984835171595,0.050320604684419935,0.00633238015075166,424.0383124246669,6.956009062084431,0.001056527190292606,4.5032995721794537e-10,0.050308347987381034,0.03199760064462818,2.6376736886306587,23.62469157493924,-0.8741761401832961,False
sand,A,92,5,3,1.7,0.32678997809381066,0.05599617855244208,0.04897390583342054,0.00702227271902154,301.56224187734847,4.94688716990401,0.00133331028962914,9.081277323027842e-10,0.048953501715247906,0.03335965359847143,2.5315273602025967,27.46811322626567,-0.8762795642783152,False
sand,A,92,5,3,1.8,0.3030242366903188,0.05517359897403626,0.047905662290741134,0.0072679366832951245,218.06862156723741,3.5772411674415587,0.0017802880091399393,1.7991138515534785e-09,0.047876676592488995,0.03519477193256963,2.448854738778109,36.333295714841235,-0.8834806120654717,False
sand,A,92,5,3,1.9,0.2812483183651704,0.05361904463592027,0.047093150622019936,0.006525894013900337,173.66265608760446,2.848796851830782,0.0034570192426506305,4.1322556984759435e-09,0.04706356667613743,0.03786822670120125,2.4153900156499235,83.8431716862121,-0.8882075302518654,False
loamy sand,A,82,12,6,0.8,0.5536528422613921,0.25261871468264324,0.09704765380637356,0.15557106087626968,487.050131723165,7.989667515143783,0.010916047893758763,1.8303219067791614e-07,0.07424592084356968,0.017872051853323516,1.544713574062374,16.326044441691657,-0.34554136227259424,False
loamy sand,A,82,12,6,0.9,0.5250607699857173,0.22821557915747237,0.08811841289067071,0.14009716626680166,421.48903372299094,6.9141901857446015,0.009483933030302117,1.136772112158896e-07,0.07115816022724131,0.017707083924982776,1.5888479348079934,14.526940425152185,-0.32169781405609904,False
loamy sand,A,82,12,6,1.0,0.497848487369649,0.20336180512750524,0.0805867136217833,0.12277509150572194,369.82639350830124,6.066705930254285,0.008391243951737909,8.11309701883037e-08,0.06844106639848538,0.01811269607438575,1.6361479050034893,13.65134801976992,-0.3614030615695726,False
loamy sand,A,82,12,6,1.1,0.47197475001454026,0.1801123503351676,0.07448366854674718,0.10562868178842041,321.8783721155757,5.280157022893302,0.007504081040267767,6.432755534239203e-08,0.0659294773948814,0.018867677459380675,1.683732664243542,13.228141170294556,-0.4331325524032621,False
loamy sand,A,82,12,6,1.2,0.4472385218699626,0.15936192881923214,0.06955502737328935,0.08980690144594279,274.74781671208314,4.507017990683779,0.006767158559519295,5.587962603307439e-08,0.06352697456116035,0.019882063719096437,1.728947158907853,13.048457182008617,-0.5203600778493697,False
loamy sand,A,82,12,6,1.3,0.42334271854060906,0.141486915476951,0.0655218932227869,0.0759650222541641,229.15137697500577,3.759044897883953,0.006190900152351972,5.314158088458187e-08,0.061198443175103374,0.021103200063354824,1.7690823954669634,13.056345457244747,-0.6136882876349746,False
loamy sand,A,82,12,6,1.4,0.399930591306519,0.12693939524854506,0.06227115101121221,0.06466824423733285,186.01163294749614,3.0513719315534145,0.005797274079606523,5.57915930430819e-08,0.0590197833186392,0.022462115253965867,1.799420660141591,13.213042057901363,-0.7059974797473383,False
loamy sand,A,82,12,6,1.5,0.3765814546770678,0.11648743101234904,0.05979294172463906,0.05669448928770998,145.18825818776597,2.3816971487494416,0.005649050905462611,6.784911583977619e-08,0.0570622463735481,0.023875783147561343,1.8097805392957653,13.454200351789009,-0.7957332562259374,False
loamy sand,A,82,12,6,1.6,0.3527613978385937,0.11147561647301668,0.058252596836470646,0.053223019636546035,105.21407801710252,1.725952723377666,0.005907251856129177,1.0663943588120616e-07,0.055390820262295457,0.0252453507528728,1.7821738379382885,13.722837901484368,-0.890403693566417,False
loamy sand,A,82,12,6,1.7,0.3283382335508552,0.11155568764253512,0.057808641697104576,0.05374704594543055,69.60963645804202,1.1418903618445213,0.006613234002691228,2.1105946034558556e-07,0.054023694473982864,0.026506166065433247,1.715609523107498,14.156134802675881,-0.9957095424681143,False
loamy sand,A,82,12,6,1.8,0.3045339436019344,0.1119907017969754,0.05791952023252757,0.05407118156444783,45.57725765283958,0.7476584260636413,0.00794565448028717,4.192697173047416e-07,0.05291307883893838,0.0277979377571033,1.6492908149208076,16.243378802714393,-1.095796591357096,False
loamy sand,A,82,12,6,1.9,0.2824739045876964,0.1090366304404843,0.057725081321964626,0.05131154911851967,32.71344284843071,0.5366378420018161,0.014968712956524436,1.100683961570161e-06,0.052096660141768086,0.029630163288246286,1.6088180947047364,31.984050162904012,-1.1789559031000882,False
sandy loam,A,65,25,10,0.8,0.5441373625039634,0.33895926590202424,0.12889948069266374,0.2100597852093605,345.05765192920535,5.660394552644445,0.012776708133410995,2.3425571577314044e-07,0.08106760612628883,0.009777433742491726,1.4550736381556073,4.962838451009242,0.011900289419573919,False
sandy loam,A,65,25,10,0.9,0.5165431810033784,0.31301566444638546,0.11880388868628904,0.1942117757600964,261.55430648940586,4.290589017214663,0.011503337192768135,2.0221515581192544e-07,0.0780595304279502,0.01023630573562814,1.471953790449023,4.803143705072333,-0.04719216011930501,False
sandy loam,A,65,25,10,1.0,0.49041157182890827,0.28859929788334676,0.11034634871463896,0.17825294916870782,196.15570296211877,3.217777279562316,0.01059338287580507,1.9649538283855806e-07,0.0753868019306549,0.010871130694915541,1.4856497098286774,4.8337093782190435,-0.14346822970385315,False
sandy loam,A,65,25,10,1.1,0.46557657031446165,0.2661948963959476,0.10332354652919983,0.16287134986674778,145.69771126469226,2.3900543186465266,0.009824526291069663,2.060414520824452e-07,0.072930908120148,0.011651858856681675,1.4955074158578898,4.953767520777182,-0.2574278452850619,False
sandy loam,A,65,25,10,1.2,0.44176748025189816,0.245972700716613,0.09749824073020949,0.14847445998640352,107.30380186978228,1.7602329703048274,0.009128224910329916,2.287508408229557e-07,0.07060731066961948,0.012561169367132472,1.5010281376394903,5.110925895184334,-0.3808758580753533,False
sandy loam,A,65,25,10,1.3,0.4186820584465449,0.22810704101102963,0.09269502113074556,0.13541201988028406,78.16215152875074,1.282187525077932,0.008553032225424253,2.677774145499834e-07,0.06836330393659255,0.01355707876256915,1.5017815952164526,5.28933079481216,-0.5091572723289319,False
sandy loam,A,65,25,10,1.4,0.39612048546920164,0.21281255324250037,0.08897153905905414,0.12384101418344623,56.362300500318,0.9245784202808071,0.008119642012020662,3.3141318503445607e-07,0.06624647115710641,0.014627441087207416,1.4962276231486882,5.5086709684975,-0.6405793780697703,False
sandy loam,A,65,25,10,1.5,0.37379604728899035,0.20059917723323467,0.08663007413625558,0.1139691030969791,39.935754347812306,0.6551140805087321,0.007813565379805003,4.3685151423030067e-07,0.06432472454013935,0.015744973532023563,1.481271001904647,5.771783763497378,-0.7761190957694148,False
sandy loam,A,65,25,10,1.6,0.3512711104499988,0.19237921174876438,0.08641934182662142,0.10595986992214296,27.110260077999726,0.44472211414041546,0.007601268535324467,6.278517655924784e-07,0.06267556657245932,0.01687781985406133,1.451315856327675,6.081899211392221,-0.9262799295194428,False
sandy loam,A,65,25,10,1.7,0.32833930820402357,0.18786864356532645,0.08880917776065612,0.09905946580467033,17.321805882641815,0.28415035896722135,0.007527529590257119,9.932414264933918e-07,0.06134779494049678,0.018024239302512044,1.4061465352595113,6.55088308991806,-1.1126163166410135,False
sandy loam,A,65,25,10,1.8,0.3057049418014488,0.1840515343808439,0.09237059423769005,0.09168094014315385,10.893373345735686,0.1786970693198111,0.00798525072798057,1.6932334931664814e-06,0.06037547886870688,0.019217869004079968,1.359628964069949,7.606905340334102,-1.3470731624051462,False
sandy loam,A,65,25,10,1.9,0.2840304240158502,0.17859845257180973,0.09519523331648158,0.08340321925532815,7.268794626263688,0.11923875699251456,0.010663845198791917,3.449307063371368e-06,0.05975769926706996,0.020569265644835213,1.3218798784227461,11.189078187804332,-1.6190280164428734,True
loam,B,40,40,20,0.8,0.5592519286617336,0.42069514631659854,0.16267032659656516,0.2580248197200334,256.8427972405424,4.21330047966769,0.022411834756569826,3.3166354664210306e-07,0.0982846655327738,0.005126381798159423,1.4531703708592623,1.998588507463173,0.334323226183361,False
loam,B,40,40,20,0.9,0.5301261033317053,0.3953781114432253,0.15410168346038777,0.24127642798283755,165.69746337513442,2.7181342417180843,0.018444151715862413,2.823261192027136e-07,0.09515964731379953,0.005311241933413668,1.4564271724115219,1.7452943220053803,0.2812573235854298,False
loam,B,40,40,20,1.0,0.5024254792756224,0.370945697479124,0.14697575822583803,0.22396993925328595,104.3535973994654,1.711837227681519,0.015765651398667282,2.765649489254121e-07,0.09264207866391856,0.005590646987336987,1.4560675383616675,1.6240664564245701,0.1800067432865902,False
loam,B,40,40,20,1.1,0.4760629414430668,0.3478478583291622,0.14117014082797472,0.2066777175011875,65.27956485209683,1.0708590034792786,0.013818819508909107,2.9662070586811383e-07,0.09059394055672024,0.005952949996627573,1.452037130110852,1.5847950050327797,0.05440942581247622,False
loam,B,40,40,20,1.2,0.450928304060135,0.32646482570357727,0.13656440812597015,0.18990041757760712,41.15781861929195,0.6751610665894349,0.012244157511526384,3.361028215034881e-07,0.08886656548385095,0.006383832786168817,1.4442319118466056,1.5882943789559654,-0.08283975243289737,False
loam,B,40,40,20,1.3,0.42685314565674876,0.30708738295804283,0.13307737218747373,0.1740100107705691,26.290213997975503,0.43126991466495246,0.010908227432232099,3.9660356872257026e-07,0.0873040468089584,0.006863731498641644,1.4323244762476173,1.6128396427636182,-0.2269460397705269,False
loam,B,40,40,20,1.4,0.40362008308973896,0.2898086129086954,0.13068866364840104,0.15911994926029438,17.009016991378704,0.2790193076013567,0.009785320656388598,4.862747462165555e-07,0.08576825913999048,0.007379861747800213,1.4156361683987102,1.656913057415236,-0.3769103968224066,False
loam,B,40,40,20,1.5,0.3809554021993132,0.27459822779763415,0.12954718003024235,0.1450510477673918,11.107079227329889,0.18220274323047717,0.008849212885267466,6.239659641382627e-07,0.0841764748725063,0.007934540403235891,1.3928960792454097,1.7305597335618124,-0.538458728398177,False
loam,B,40,40,20,1.6,0.35848529581534283,0.26150159392500305,0.1301910612174001,0.13131053270760296,7.235839490823748,0.11869815437702999,0.008073954688159043,8.584774237697187e-07,0.08259618478371902,0.008541220680556563,1.362030229570717,1.8520437760906183,-0.7324169642533497,False
loam,B,40,40,20,1.7,0.33603212038280905,0.25015399815166733,0.1328101794940858,0.11734381865758153,4.655987885344547,0.07637775402468089,0.007543388237831818,1.2973638047981202e-06,0.08119495756452981,0.00922578253950231,1.3238201524266922,2.071406695752147,-0.9942328697673536,False
loam,B,40,40,20,1.8,0.31399491664844137,0.23940981273113368,0.13610629426360427,0.10330351846752941,3.015320833326035,0.04946392443120136,0.007540475186817767,2.1560972135896556e-06,0.08013622455892969,0.010008356842404425,1.2852548501829497,2.5020994556718184,-1.3499537966034694,False
loam,B,40,40,20,1.9,0.29260057395405237,0.2282619846567756,0.13852291187674842,0.08973907278002718,2.0379149417768376,0.033430363218123975,0.008460948551429506,3.954878217750241e-06,0.07956429944629305,0.010905099786964636,1.2519552057042012,3.371627941017613,-1.8025706018967638,True
