texture_class,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity
sand,92,5,3,0.8,0.5597188436564556,0.1409322508997153,0.07242874119496463,0.06850350970475068
sand,92,5,3,0.9,0.530925371998065,0.1293136892303256,0.06768135970010636,0.06163232953021924
sand,92,5,3,1.0,0.5025555740163783,0.11285003665478813,0.06383132270684838,0.049018713947939746
sand,92,5,3,1.1,0.47537283478892706,0.0963701445016731,0.06072282400802613,0.03564732049364697
sand,92,5,3,1.2,0.4495187378996922,0.08234372817405708,0.058090003312947905,0.024253724861109174
sand,92,5,3,1.3,0.4247274281551791,0.07153703312820489,0.05576465849032445,0.01577237463788044
sand,92,5,3,1.4,0.40055631754630766,0.06387583008975112,0.053707856119476975,0.010167973970274143
sand,92,5,3,1.5,0.3764611060447422,0.05899872349116801,0.051898519106190096,0.0071002043849779164
sand,92,5,3,1.6,0.35182990798234925,0.056652984835171595,0.050320604684419935,0.00633238015075166
sand,92,5,3,1.7,0.32678997809381066,0.05599617855244208,0.04897390583342054,0.00702227271902154
sand,92,5,3,1.8,0.3030242366903188,0.05517359897403626,0.047905662290741134,0.0072679366832951245
sand,92,5,3,1.9,0.2812483183651704,0.05361904463592027,0.047093150622019936,0.006525894013900337
sand,92,5,3,2.0,0.26143249087212445,0.05129186999372748,0.0466248823374612,0.004666987656266282
loamy sand,82,12,6,0.8,0.5536528422613921,0.25261871468264324,0.09704765380637356,0.15557106087626968
loamy sand,82,12,6,0.9,0.5250607699857173,0.22821557915747237,0.08811841289067071,0.14009716626680166
loamy sand,82,12,6,1.0,0.497848487369649,0.20336180512750524,0.0805867136217833,0.12277509150572194
loamy sand,82,12,6,1.1,0.47197475001454026,0.1801123503351676,0.07448366854674718,0.10562868178842041
loamy sand,82,12,6,1.2,0.4472385218699626,0.15936192881923214,0.06955502737328935,0.08980690144594279
loamy sand,82,12,6,1.3,0.42334271854060906,0.141486915476951,0.0655218932227869,0.0759650222541641
loamy sand,82,12,6,1.4,0.399930591306519,0.12693939524854506,0.06227115101121221,0.06466824423733285
loamy sand,82,12,6,1.5,0.3765814546770678,0.11648743101234904,0.05979294172463906,0.05669448928770998
loamy sand,82,12,6,1.6,0.3527613978385937,0.11147561647301668,0.058252596836470646,0.053223019636546035
loamy sand,82,12,6,1.7,0.3283382335508552,0.11155568764253512,0.057808641697104576,0.05374704594543055
loamy sand,82,12,6,1.8,0.3045339436019344,0.1119907017969754,0.05791952023252757,0.05407118156444783
loamy sand,82,12,6,1.9,0.2824739045876964,0.1090366304404843,0.057725081321964626,0.05131154911851967
loamy sand,82,12,6,2.0,0.26246679342186824,0.10239462457501394,0.05686201795997177,0.04553260661504217
sandy loam,65,25,10,0.8,0.5441373625039634,0.33895926590202424,0.12889948069266374,0.2100597852093605
sandy loam,65,25,10,0.9,0.5165431810033784,0.31301566444638546,0.11880388868628904,0.1942117757600964
sandy loam,65,25,10,1.0,0.49041157182890827,0.28859929788334676,0.11034634871463896,0.17825294916870782
sandy loam,65,25,10,1.1,0.46557657031446165,0.2661948963959476,0.10332354652919983,0.16287134986674778
sandy loam,65,25,10,1.2,0.44176748025189816,0.245972700716613,0.09749824073020949,0.14847445998640352
sandy loam,65,25,10,1.3,0.4186820584465449,0.22810704101102963,0.09269502113074556,0.13541201988028406
sandy loam,65,25,10,1.4,0.39612048546920164,0.21281255324250037,0.08897153905905414,0.12384101418344623
sandy loam,65,25,10,1.5,0.37379604728899035,0.20059917723323467,0.08663007413625558,0.1139691030969791
sandy loam,65,25,10,1.6,0.3512711104499988,0.19237921174876438,0.08641934182662142,0.10595986992214296
sandy loam,65,25,10,1.7,0.32833930820402357,0.18786864356532645,0.08880917776065612,0.09905946580467033
sandy loam,65,25,10,1.8,0.3057049418014488,0.1840515343808439,0.09237059423769005,0.09168094014315385
